Model,Train Accuracy,Test Accuracy,Precision,Recall,F1 Score,Training Time
Model 25,0.9986206896551724,0.9835164835164835,1.0,0.968421052631579,0.983957219251337,0.609375
Model 26,0.993103448275862,0.8186813186813187,1.0,0.6526315789473685,0.7898089171974523,0.546875
Model 27,0.9986206896551724,0.9945054945054945,1.0,0.9894736842105263,0.9947089947089947,0.65625
Model 28,0.9986206896551724,0.989010989010989,0.9894736842105263,0.9894736842105263,0.9894736842105263,1.0
Model 29,0.9958620689655172,0.8351648351648352,0.9850746268656716,0.6947368421052632,0.8148148148148148,0.46875
Model 30,0.9986206896551724,0.9835164835164835,0.9893617021276596,0.9789473684210527,0.9841269841269842,0.765625
Model 31,0.9986206896551724,1.0,1.0,1.0,1.0,0.640625
Model 32,0.9972413793103448,0.978021978021978,1.0,0.9578947368421052,0.978494623655914,0.84375
Model 33,0.9986206896551724,0.9835164835164835,1.0,0.968421052631579,0.983957219251337,0.796875
Model 34,0.9986206896551724,0.9945054945054945,1.0,0.9894736842105263,0.9947089947089947,0.8125
Model 35,0.9986206896551724,0.9835164835164835,1.0,0.968421052631579,0.983957219251337,0.40625
Model 36,0.9986206896551724,0.9945054945054945,1.0,0.9894736842105263,0.9947089947089947,0.828125
Model 37,1.0,0.945054945054945,0.9047619047619048,1.0,0.9500000000000001,0.84375
Model 38,0.9986206896551724,0.9835164835164835,1.0,0.968421052631579,0.983957219251337,0.921875
Model 39,0.9986206896551724,0.9725274725274725,1.0,0.9473684210526315,0.972972972972973,0.9375
Model 40,1.0,0.9835164835164835,1.0,0.968421052631579,0.983957219251337,0.796875
Model 41,0.9972413793103448,0.9835164835164835,1.0,0.968421052631579,0.983957219251337,0.78125
Model 42,0.9986206896551724,0.9835164835164835,1.0,0.968421052631579,0.983957219251337,0.890625
Model 43,0.9972413793103448,0.9945054945054945,0.9895833333333334,1.0,0.9947643979057591,0.6875
Model 44,1.0,0.989010989010989,1.0,0.9789473684210527,0.9893617021276596,0.890625
Model 45,1.0,0.9945054945054945,0.9895833333333334,1.0,0.9947643979057591,0.453125
Model 46,0.9986206896551724,0.9835164835164835,1.0,0.968421052631579,0.983957219251337,0.75
Model 47,0.9958620689655172,0.8901098901098901,1.0,0.7894736842105263,0.8823529411764706,0.625
Model 48,0.9986206896551724,0.8571428571428571,1.0,0.7263157894736842,0.8414634146341463,0.46875
Model 49,1.0,0.9945054945054945,1.0,0.9894736842105263,0.9947089947089947,0.78125
Model 50,0.9986206896551724,0.945054945054945,0.9885057471264368,0.9052631578947369,0.945054945054945,0.5625
Model 51,1.0,0.9835164835164835,0.9893617021276596,0.9789473684210527,0.9841269841269842,0.96875
Model 52,0.9986206896551724,0.9835164835164835,1.0,0.968421052631579,0.983957219251337,0.53125
Model 53,0.9986206896551724,0.989010989010989,0.979381443298969,1.0,0.9895833333333333,0.875
Model 54,0.9986206896551724,0.978021978021978,0.989247311827957,0.968421052631579,0.9787234042553192,0.515625
Model 55,0.9986206896551724,0.9835164835164835,1.0,0.968421052631579,0.983957219251337,0.59375
Model 56,0.9986206896551724,0.9835164835164835,1.0,0.968421052631579,0.983957219251337,0.578125
Model 57,0.9986206896551724,0.8626373626373627,1.0,0.7368421052631579,0.8484848484848484,0.765625
Model 58,1.0,0.978021978021978,0.989247311827957,0.968421052631579,0.9787234042553192,0.5625
Model 59,1.0,0.9945054945054945,1.0,0.9894736842105263,0.9947089947089947,0.453125
Model 60,0.9986206896551724,0.989010989010989,1.0,0.9789473684210527,0.9893617021276596,0.875
Model 61,0.9958620689655172,0.9835164835164835,0.9693877551020408,1.0,0.9844559585492229,1.03125
Model 62,0.9986206896551724,0.978021978021978,1.0,0.9578947368421052,0.978494623655914,0.96875
Model 63,0.9986206896551724,0.9835164835164835,1.0,0.968421052631579,0.983957219251337,0.796875
Model 64,1.0,0.9835164835164835,1.0,0.968421052631579,0.983957219251337,0.765625
Model 65,1.0,0.989010989010989,1.0,0.9789473684210527,0.9893617021276596,0.953125
Model 66,0.9958620689655172,0.9945054945054945,0.9895833333333334,1.0,0.9947643979057591,0.921875
Model 67,1.0,0.989010989010989,1.0,0.9789473684210527,0.9893617021276596,0.9375
Model 68,0.9986206896551724,0.967032967032967,1.0,0.9368421052631579,0.967391304347826,0.921875
Model 69,1.0,0.9505494505494505,1.0,0.9052631578947369,0.9502762430939227,0.6875
Model 70,0.9986206896551724,0.8846153846153846,1.0,0.7789473684210526,0.8757396449704142,0.921875
Model 71,0.9986206896551724,0.9615384615384616,0.9888888888888889,0.9368421052631579,0.9621621621621621,0.9375
Model 72,0.9972413793103448,0.9945054945054945,0.9895833333333334,1.0,0.9947643979057591,0.578125
Model 73,0.9986206896551724,0.989010989010989,1.0,0.9789473684210527,0.9893617021276596,0.703125
Model 74,0.9986206896551724,0.9835164835164835,1.0,0.968421052631579,0.983957219251337,0.84375
Model 75,0.9986206896551724,0.9835164835164835,1.0,0.968421052631579,0.983957219251337,0.734375
Model 76,1.0,0.9835164835164835,1.0,0.968421052631579,0.983957219251337,0.875
Model 77,1.0,0.989010989010989,1.0,0.9789473684210527,0.9893617021276596,0.59375
Model 78,0.9986206896551724,0.978021978021978,1.0,0.9578947368421052,0.978494623655914,0.890625
Model 79,0.9986206896551724,0.989010989010989,1.0,0.9789473684210527,0.9893617021276596,1.03125
Model 80,0.9986206896551724,0.989010989010989,1.0,0.9789473684210527,0.9893617021276596,0.84375
Model 81,1.0,0.9945054945054945,0.9895833333333334,1.0,0.9947643979057591,0.625
Model 82,0.9986206896551724,0.9835164835164835,1.0,0.968421052631579,0.983957219251337,0.8125
Model 83,0.9986206896551724,0.978021978021978,1.0,0.9578947368421052,0.978494623655914,0.625
Model 84,0.9972413793103448,0.9505494505494505,0.9134615384615384,1.0,0.9547738693467337,0.828125
Model 85,1.0,1.0,1.0,1.0,1.0,0.828125
Model 86,0.9986206896551724,0.9835164835164835,0.9893617021276596,0.9789473684210527,0.9841269841269842,0.796875
Model 87,0.9986206896551724,0.9945054945054945,1.0,0.9894736842105263,0.9947089947089947,0.84375
Model 88,0.9986206896551724,1.0,1.0,1.0,1.0,0.734375
Model 89,0.9986206896551724,0.9945054945054945,1.0,0.9894736842105263,0.9947089947089947,0.671875
Model 90,0.9986206896551724,0.989010989010989,1.0,0.9789473684210527,0.9893617021276596,0.578125
Model 91,1.0,1.0,1.0,1.0,1.0,0.8125
Model 92,0.9972413793103448,0.9835164835164835,0.9693877551020408,1.0,0.9844559585492229,0.796875
Model 93,0.9986206896551724,0.9835164835164835,1.0,0.968421052631579,0.983957219251337,0.859375
Model 94,0.9972413793103448,0.9835164835164835,1.0,0.968421052631579,0.983957219251337,0.703125
Model 95,0.9986206896551724,0.9835164835164835,1.0,0.968421052631579,0.983957219251337,0.90625
Model 96,0.9972413793103448,0.9340659340659341,1.0,0.8736842105263158,0.9325842696629214,0.828125
Model 97,1.0,0.989010989010989,1.0,0.9789473684210527,0.9893617021276596,0.953125
Model 98,0.9986206896551724,0.9835164835164835,1.0,0.968421052631579,0.983957219251337,0.921875
Model 99,0.9986206896551724,1.0,1.0,1.0,1.0,0.828125
Model 100,0.9958620689655172,0.978021978021978,1.0,0.9578947368421052,0.978494623655914,0.671875
